name,alternativename,notes,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,exclude,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,
Emory Healthcare,hospital system in Atlanta,,2012,"315,000",healthcare,poor security,,315000,4000,,,,,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,,
Formspring, Interest-based social Q&A website,"Formspring was tipped off to a breach after 420,000 hashed passwords were posted to a security forum. ",2012,"420,000",web,accidentally published,y,420000,4000,,,,,http://news.cnet.com/8301-1009_3-57469944-83/formspring-disables-user-passwords-in-security-breach/?tag=mncol;txt,,,,,,,,,,,,,,,,,,,,
Yahoo Voices,,"Yahoo Voices service was hacked, exposing more than 450,000 usernames and passwords.",2012,"450,000","tech, web",hacked,,450000,1,,,,,http://it.slashdot.org/story/12/07/12/1243217/nearly-half-a-million-yahoo-passwords-leaked-updated?utm_source=feedburnerGoogle+Reader&utm_medium=feed&utm_campaign=Feed%3A+Slashdot%2Fslashdot+%28Slashdot%29&utm_content=Google+Reader,http://www.pbs.org/newshour/rundown/2012/07/check-whether-your-yahoo-password-was-hacked.html,,Slashdot,,,,,,,,,,,,,,,,,
Medicaid,US health program for low income people and families,"The Utah Department of Technology Services had recently moved their claims records to a new server, and hackers believed to be operating out of Eastern Europe were able to circumvent the server’s multi-layered security system containing Social Security numbers for the Medicaid claims.",2012,"780,000","government, healthcare",hacked,y,780000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
California Department of Child Support Services,,California child support records were lost in transit during a disaster preparedness exercise.,2012,"800,000",government,lost / stolen media ,,800000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,http://articles.businessinsider.com/2012-04-03/news/31279254_1_major-data-breach-identity-theft-office-of-privacy-protection,,ITRC,,,,,,,,,,,,,,,,,
New York State Electric & Gas,,An employee from a software consulting firm was allowed unauthorized access to the company’s databases.,2012,"1,800,000",energy,inside job,,1800000,20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Three Iranian banks,"Saderat, Eghtesad Novin, & Saman","After finding a security vulnerability in Iran's banking system, software manager Khosrow Zarefarid
 wrote a formal report and sent it to the CEOs of all the affected banks across the country. When the banks ignored his findings, he hacked 3 million bank accounts, belonging to at least 22 different banks, to prove his point.",2012,"3,000,000",financial,hacked,y,3000000,50000,,,,,http://www.zdnet.com/blog/security/3-million-bank-accounts-hacked-in-iran/11577,,,ZD Net,,,,,,,,,,,,,,,,,
South Carolina Government,South Carolina Department of Health and Human Services,"A man was charged with five counts of violating medical confidentiality laws and one count of disclosure of confidential information after he gained access to personal information for more than 228,000 Medicaid beneficiaries.",2012,"6,400,000",healthcare,inside job,,"228,435",4000,,,,,http://www.thestate.com/2012/04/20/2241321/personal-information-of-more-than.html#.UFpUVqRYtmg,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
Office of the Texas Attorney General,The office of Texas Attorney General Greg Abbott mistakenly gave attorneys access to millions of Social Security numbers in a case against the state’s voter ID law,,2012,"6,500,000",government,accidentally published,,6500000,20,,,,,http://www.rawstory.com/rs/2012/04/26/texas-attorney-general-exposes-millions-of-voters-social-security-numbers/,,,,,,,,,,,,,,,,,,,,
Global Payments,"Credit, debit and check processing for merchants (Visa, Mastercard, etc)",1.5 million credit card numbers from its systems may have been exposed after detecting “unauthorized access” into its processing system. ,2012,"7,000,000",financial,hacked,,1500000,300,,,,,http://www.washingtonpost.com/business/technology/faq-the-global-payments-hack/2012/04/02/gIQAIHLLrS_story.html,,,ITRC,http://money.cnn.com/2012/03/30/technology/credit-card-data-breach/index.htm,,,,,,,,,,,,,,,,
Gamigo,,German gaming website,2012,"8,000,000",web,hacked,,8000000,1,,,,,http://www.forbes.com/sites/andygreenberg/2012/07/23/eight-million-passwords-spilled-from-gaming-site-gamigo-months-after-breach/,,,,,,,,,,,,,,,,,,,,
"LinkedIn, eHarmony, Last.fm",,"Hacker 'dwdm' uploaded a file containing 6.5 million passwords on a Russian hacker forum. Soon after another 1.5 million passwords were discovered.  On analysis, 93% of the passwords could be found in the Top 10,000 password list.",2012,"8,000,000",web,accidentally published,,8000000,4000,,,,,http://news.cnet.com/8301-1009_3-57449325-83/what-the-password-leaks-mean-to-you-faq/?tag=mncol;txt,http://arstechnica.com/security/2012/06/8-million-leaked-passwords-connected-to-linkedin/,,,,,,,,,,,,,,,,,,,
KT Corp.,Korean mobile carrier,"Two suspects reportedly earnt an estimated $877,000 by selling the contact information and plan details of 8.7 million KT subscribers, almost half of the carrier's total customers.",2012,"8,700,000",telecoms,hacked,,8700000,20,,,,,http://www.koreatimes.co.kr/www/news/biz/2012/07/113_116143.html,http://news.cnet.com/8301-1009_3-57482215-83/hackers-accused-of-stealing-data-from-9m-korean-mobile-users/,,,,,,,,,,,,,,,,,,,
Greek government,,"A computer programmer was arrested in Greece for allegedly stealing the identity information of what could amount to 83% of the country's population. The 35-year-old was found in possession of 9 million data files containing identification card data, addresses, tax ID numbers and licence plate numbers, which he was also suspected of trying to sell.",2012,"9,000,000",government,hacked,,9000000,20,,,,,http://www.wired.co.uk/news/archive/2012-11/22/greece-id-theft,,,Wired,,,,,,,,,,,,,,,,,
Zappos,,,2012,"24,000,000",web,hacked,,24000000,20,,,,,http://www.forbes.com/sites/andygreenberg/2012/01/15/zappos-says-hackers-accessed-24-million-customers-account-details/,,,,,,,,,,,,,,,,,,,,
Massive American business hack,"7-Eleven, JC Penney, Hannaford, Heartland, JetBlue, Dow Jones, Euronet, Visa Jordan, Global Payment, Diners Singapore and Ingenicard","Over eight years, a hacking ring targeted banks, payment processors and chain stores, to steal more than 160 million credit and debit card numbers, targeting more than 800,000 bank accounts ",2012,"160,000,000",financial,hacked,y,160000000,50000,,,,,http://www.nydailynews.com/news/national/russians-ukrainian-charged-largest-hacking-spree-u-s-history-article-1.1408948,,,,,,,,,,,,,,,,,,,,
Dropbox,Websites stolen from other websites used to sign into a small number of Dropbox accounts. The hack was mainly used to send spam to users. ,,2012,"""small number""",web,hacked,,"30,000",1,,,,,http://www.informationweek.co.uk/security/client/dropbox-admits-hack-adds-more-security-f/240004697,,,,,,,,,,,,,,,,,,,,
"""Apple""",,"Hacking group AntiSec claimed they hacked an FBI laptop in March 2012 accessing a file of more than 12 million Apple Unique Device Identifiers (UDIDs). Subsequently, it was discovered that app developer BlueToad was the source of the breach. The list contained personal information such as full names, phone numbers and addresses. AntiSec published a million of these UDIDs online.",2012,"12,367,232 ","tech, retail",accidentally published,y,12367232,20,,,,,http://news.cnet.com/8301-1009_3-57505330-83/antisec-claims-to-have-snatched-12m-apple-device-ids-from-fbi/,http://news.cnet.com/8301-1009_3-57509595-83/udid-leak-source-idd-bluetoad-mobile-firm-says-it-was-hacked/,,,,,,,,,,,,,,,,,,,
Blizzard,"Activision, Battle.net","Scrambled passwords, e-mail addresses, and personal security answers were knowingly stolen from Blizzard's internal network. Blizzard would not elaborate on the size of the hack (""millions""). ",2012,"14,000,000",gaming,hacked,,14000000,20,,,,,https://us.battle.net/support/en/article/important-security-update-faq#5,,,,http://thehightechsociety.com/blizzard-battle-net-hack/,,,,,,,,,,,,,,,,
Morgan Stanley Smith Barney,,Morgan Stanley mailed a CD containing sensitive data about investors in tax-exempt funds and bonds to the New York State Department of Taxation and Finance. The package arrived at the building but when it arrived at the relevant desk the data CD was missing.,2011,"34,000",financial,lost / stolen media ,y,34000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
US Army,,,2011,"50,000",military,accidentally published,,50000,1,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
Writerspace.com,Website design and hosting for writers,"Hacker group LulzSec released the e-mails and passwords, 12,000 of which were confirmed to originate from Writerspace.com. ",2011,"62,000",web,hacked,,62000,1,,,,,"http://www.pcmag.com/article2/0,2817,2387186,00.asp",,,PC Mag,,,,,,,,,,,,,,,,,
University of Wisconsin - Milwaukee,,,2011,"73,000",academic,hacked,,"73,000",20,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,,,,,,,,,,,,,,,,,,
Memorial Healthcare System,Florida,"An employee of an affiliated physician’s office may have improperly accessed patient information through a web portal used by physicians who provide care and treatment at MHS. Specifically, patients’ names, dates of birth, and Social Security numbers.",2011,"102,153",healthcare,lost / stolen media,,102153,20,,,,,http://www.mhs.net/pdf/release071112.pdf,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
US Law Enforcement,,"""AntiSec"" hackers published 2,719 social security numbers, 8,214 passwords, 15,798 birth dates, 48,182 street addresses, 1,531,628 email addresses, 106,691 phone numbers, 57 bank account numbers, 53 driver's license numbers, and eight credit card numbers of more than 70 different U.S. law enforcement agencies.",2011,"123,461",government,accidentally published,,123461,300,,,,,"http://www.pcmag.com/article2/0,2817,2390683,00.asp",,,PC World,,,,,,,,,,,,,,,,,
Accendo Insurance Co. ,,"Mismailed letters which allowed some lines of sensitive information (medication name, date of birth, and member ID) to be visible through the envelope window. The mailings were addressed correctly and, to the knowledge of the company, were received by the intended recipients.",2011,"175,350",healthcare,poor security,,175350,4000,,,,,http://www.databreaches.net/?p=19198,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,,,,,,,,,,,,,,,,,,
San Francisco Public Utilities Commission ,,,2011,"180,000",government,hacked,,180000,1,,,,,http://news.cnet.com/8301-27080_3-20068386-245/sf-utilities-agency-warns-of-potential-breach/,,,,,,,,,,,,,,,,,,,,
Bethesda Game Studios,"US video game company (Elder Scrolls, Fallout 3)","Hacking collective Lulzsec stole account information of 200,000 user.",2011,"200,000",gaming,hacked,,200000,1,,,,,http://www.pcworld.com/article/231215/lulzsec_a_short_history_of_hacking.html,,,PC World,,,,,,,,,,,,,,,,,
Restaurant Depot,"food, equipment, and supplies for restaurants",,2011,"200,000",retail,hacked,,200000,300,,,,,http://www.idtheftcenter.org/artman2/publish/lib_survey/ITRC_2008_Breach_List.shtml,,,ITRC,,,,,,,,,,,,,,,,,
